time,signal,value
1778503044.308070,DCMP_Status.NDCDCState,2
1778503044.308070,DCMP_Status.BDCDCWakeUp,0
1778503044.308070,DCMP_Status.BDCDCAuxIsoEnabled,1
1778503044.308070,DCMP_Status.BDCDCCANError,0
1778503044.308070,DCMP_Status.BDCDCConfigSettingsError,0
1778503044.308070,DCMP_Status.BDCDCXcpError,0
1778503044.308070,DCMP_Status.BDCDCHVError,0
1778503044.308070,DCMP_Status.BDCDCHVOcpError,0
1778503044.308070,DCMP_Status.BDCDCHVOvpError,0
1778503044.308070,DCMP_Status.BDCDCHVUvpError,0
1778503044.308070,DCMP_Status.BDCDCSROvpError,0
1778503044.308070,DCMP_Status.BDCDCSRUvpError,0
1778503044.308070,DCMP_Status.BDCDCLVAlimAuxError,0
1778503044.308070,DCMP_Status.BDCDCLV1Demanded,0
1778503044.308070,DCMP_Status.BDCDCLV1OvpError,0
1778503044.308070,DCMP_Status.BDCDCLV1UvpError,0
1778503044.308070,DCMP_Status.BDCDCLV1Warning,0
1778503044.308070,DCMP_Status.BDCDCLV2Demanded,0
1778503044.308070,DCMP_Status.BDCDCLV2OvpError,0
1778503044.308070,DCMP_Status.BDCDCLV2UvpError,0
1778503044.308070,DCMP_Status.BDCDCLV2Warning,0
1778503044.308070,DCMP_Status.BDCDCSR1OtpError,0
1778503044.308070,DCMP_Status.BDCDCSR2OtpError,0
1778503044.308070,DCMP_Status.BDCDCBB1OtpError,0
1778503044.308070,DCMP_Status.BDCDCBB2OtpError,0
1778503044.308070,DCMP_Status.BDCDCBB3OtpError,0
1778503044.308070,DCMP_Status.BDCDCBB4OtpError,0
1778503044.308070,DCMP_Status.BDCDCRcpWarning,0
1778503044.308070,DCMP_Status.BDCDCPowerDemanded,0
1778503044.308070,DCMP_Status.BDCDCUmbilicalDemanded,0
1778503044.308070,DCMP_Status.BDCDCRegenerationDemanded,0
1778503044.308070,DCMP_Status.BDCDCDischargeDemanded,0
1778503044.308070,DCMP_Status.NDCDCReleaseMode,3
1778503044.308070,DCMP_Value.VDCDCSRMin,1.8353055
1778503044.308070,DCMP_Value.VDCDCSRMax,1.9576592
1778503044.308070,DCMP_Value.VDCDCSRAverage,1.8353055
1778503044.308070,DCMP_Value.Multiplexer,0
1778503044.308070,DCMP_Value.TDCDCSR1Measured,5
1778503044.308070,DCMP_Value.TDCDCSR2Measured,4
1778503044.308070,DCMP_Value.TDCDCBB1Measured,5
1778503044.308070,DCMP_Value.TDCDCBB2Measured,5
1778503044.308070,DCMP_ValueAux.VDCDCAux1Measured,1.1585052
1778503044.308070,DCMP_ValueAux.VDCDCAux2Measured,1.2378016
1778503044.308070,DCMP_ValueAux.VDCDCAux3Measured,0.9283515600000001
1778503044.308070,DCMP_ValueAux.VDCDCAux4Measured,0.0
1778503044.308070,DCMP_ValueAux.VDCDCAux5Measured,0.58021965
1778503044.308070,DCMP_ValueAux.NDCDCReserved,11564
